BIN;Bank
220074;"ПАО ""Совкомбанк"""
22002704;"ПАО ""Совкомбанк"""
22002705;"ПАО ""Совкомбанк"""
22002706;"ПАО ""Совкомбанк"""
22002707;"ПАО ""Совкомбанк"""
22007401;"ПАО ""Совкомбанк"""
907400;"ПАО ""Совкомбанк"""
220252;"ПАО ""Совкомбанк"""
22025201;"ПАО ""Совкомбанк"""
220075;"ООО ""Примтеркомбанк"""
22007501;"ООО ""Примтеркомбанк"""
22007502;"ООО ""Примтеркомбанк"""
220079;"АО ""ГУТА-БАНК"""
220099;"АО ""Банк ""Агророс"""
22009901;"АО ""Банк ""Агророс"""
909900;"АО ""Банк ""Агророс"""
220083;ПАО Ставропольпромстройбанк
22008301;ПАО Ставропольпромстройбанк
22008302;ПАО Ставропольпромстройбанк
220078;"АО АИКБ ""Енисейский объединенный банк"""
22007801;"АО АИКБ ""Енисейский объединенный банк"""
22007802;"АО АИКБ ""Енисейский объединенный банк"""
220082;Муниципальный Камчатпрофитбанк (АО)
22008201;Муниципальный Камчатпрофитбанк (АО)
22008202;Муниципальный Камчатпрофитбанк (АО)
22008203;Муниципальный Камчатпрофитбанк (АО)
22008204;Муниципальный Камчатпрофитбанк (АО)
